Website,Link,Network operator,Link Load time,Link dead or not
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/homesearch.htm,Airtel,592.8,N
,http://gandhi.gov.in/,Airtel,3505.2,N
,https://nrega.nic.in/netnrega/MGNREGA_new/Nrega_home.aspx,Airtel,3764.2,N
,https://www.facebook.com/iecmgnrega/,Airtel,4338.4,N
,https://www.youtube.com/channel/UCIicGPL5tTD23FvCDFOhrOA?view_as=subscriber,Airtel,3373.8,N
,https://mgnregasuccess.wordpress.com/,Airtel,22190.4,N
,http://nrega.nic.in/amendments_2005_2018.pdf,Airtel,242.8,N
,http://nrega.nic.in/netnrega/guidelines.aspx,Airtel,802.4,N
,http://nrega.nic.in/MNREGA_Dist.pdf,Airtel,203.4,N
,http://mnregaweb4.nic.in/Netnrega/mpr_ht/nregampr_dmu_mis.aspx?fin_year=2015-2016&month=Latest&flag=1&page1=S&Digest=YNM1xjNNDz0MWPXC1L4hCQ,Airtel,551.4,N
,http://nrega.nic.in/netnrega/circular_new.aspx,Airtel,587.4,N
,http://nrega.nic.in/netnrega/tour_observe.aspx,Airtel,408.2,N
,http://nrega.nic.in/netnrega/Monthly_DoLetters.aspx,Airtel,440.2,N
,http://mnregaweb4.nic.in/netnrega/new_DBT_aadhaar_calendar_report.aspx?fin_year=2016-2017,Airtel,152.4,N
,http://mnregaweb4.nic.in/netnrega/bank_rpt_link.aspx,Airtel,230.6,N
,http://nrega.nic.in/netnrega/Homecost.aspx,Airtel,811.2,N
,http://www.nrega.nic.in/CEGC.htm,Airtel,551,N
,http://nrega.nic.in/Reference_center.asp,Airtel,0,Y
,https://nrega.nic.in/netnrega/library.aspx,Airtel,1211,N
,https://nrega.nic.in/netnrega/NregaOfficials.aspx,Airtel,619.6,N
,http://nrega.nic.in/nregasitemap.htm,Airtel,0,Y
,http://nrega.nic.in/,Airtel,5993.6,N
,http://nrega.nic.in/netnrega/Homepanch.aspx,Airtel,1097,N
,http://mnregaweb4.nic.in/netnrega/workers/wrkinfo.aspx,Airtel,651.2,N
,http://nrega.nic.in/Netnrega/Homeagency.aspx,Airtel,987.8,N
,http://nrega.nic.in/netnrega/Homedpc.aspx,Airtel,828.2,N
,https://nrega.nic.in/Netnrega/stdeHome.aspx,Airtel,626.4,N
,https://nrega.nic.in/Netnrega/stdeHome.aspx?check=FTO,Airtel,709,N
,http://nregarep2.nic.in/netnrega/dynamic2/dynamicreport_new4.aspx,Airtel,1466.4,N
,https://nregade.nic.in/netnrega/statepage.aspx?check=Unnati,Airtel,796,N
,http://nrega.nic.in/Netnrega/stHome.aspx,Airtel,787.6,N
,http://nregade.nic.in/netnrega/Statepage.aspx?check=b_po,Airtel,1080.8,N
,https://e-saksham.nic.in/,Airtel,645.8,N
,http://bhuvan.nrsc.gov.in/governance/mgnrega,Airtel,818,N
,http://nrega.nic.in/netnrega/convergence/conindex.aspx,Airtel,1882,N
,http://nrega.nic.in/netnrega/HomeAdmin.aspx,Airtel,800.2,N
,http://nrega.nic.in/netnrega/SocialAuditFindings/SA_home.aspx,Airtel,2613.8,N
,http://nrega.nic.in/Netnrega/stHome.aspx?check=KSK,Airtel,693,N
,http://nregade.nic.in/netnrega/statepage.aspx?check=coop,Airtel,690.8,N
,http://mnregaweb4.nic.in/netnrega/cso_cft/CSOlogin.aspx,Airtel,983.6,N
,https://nregade.nic.in/netnrega/statepage.aspx?check=Unnati,Airtel,477.6,N
,https://nrega.nic.in/netnrega/LIbrary_link.aspx,Airtel,15279.2,N
,http://nrega.nic.in/netnrega/SupremeCourtMatter.aspx,Airtel,374.8,N
,http://nrega.nic.in/Netnrega/WriteReaddata/Circulars/VRP_TraningManual.pdf,Airtel,375.8,N
,http://nrega.nic.in/Netnrega/Data/SoP_TimelypaymentMGNREGA.pdf,Airtel,762.6,N
,https://nrega.nic.in/Netnrega/WriteReaddata/Circulars/Guidelines_Planning_for_Works_and_preparation_of_Labour_Budget_NREGA_for_FY_2021-22..pdf,Airtel,425,N
,https://nrega.nic.in/Netnrega/WriteReaddata/Circulars/2436Guidelines_convergence_Catalytic_Development_Programme_Textiles.pdf,Airtel,487.8,N
,https://nrega.nic.in/Netnrega/WriteReaddata/Circulars/2435Award_Letter07042021.pdf,Airtel,519.4,N
,http://nrega.nic.in/netnrega/Janmanrega.htm,Airtel,370.6,N
,http://mnregaweb4.nic.in/Netnrega/New_mgnrega.apk,Airtel,277,N
,http://mnregaweb4.nic.in/Netnrega/latest_Nsoft_PPT_(MMS).pdf,Airtel,4033.8,N
,http://mnregaweb4.nic.in/Netnrega/app-release.apk,Airtel,1180,N
,http://nrega.nic.in/netnrega/circular_new.aspx,Airtel,1382.2,N
,https://nrega.nic.in/Netnrega/WriteReaddata/Circulars/2390Annual_Master_Circular_2019-20.pdf,Airtel,713.6,N
,http://nrega.nic.in/Circular_Archive/archive/MGNREGA_PerformanceReport27June2016.pdf,Airtel,9394.2,N
,http://nrega.nic.in/Circular_Archive/archive/RTP2016_English.pdf,Airtel,279.4,N
,http://nrega.nic.in/Circular_Archive/archive/RTP2016_Hindi.pdf,Airtel,435.2,N
,http://nrega.nic.in/Circular_Archive/archive/Report_on_SAMARTHYA_technical_training.pdf,Airtel,341.4,N
,http://nrega.nic.in/netnrega/national_workshop_new.aspx,Airtel,685,N
,http://nrega.nic.in/Circular_Archive/archive/MGNREGA_Sameeksha2_English.pdf,Airtel,236.6,N
,http://nrega.nic.in/Circular_Archive/archive/MGNREGA_Sameeksha2_Hindi.pdf,Airtel,263.8,N
,http://nrega.nic.in/Circular_Archive/archive/Report_Capacity_Building_Report.pdf,Airtel,11896,N
,http://nrega.nic.in/Circular_Archive/archive/Photobook_Documentation_Sustainable_Assets_Created.pdf,Airtel,386.4,N
,http://nrega.nic.in/netnrega/Press_Release.aspx,Airtel,489.2,N
,http://mnregaweb4.nic.in/netnrega/statepage.aspx?check=pgr&lvl=citizen&Digest=Ah5boauEAQAnYfahMVB4jw,Airtel,324,N
,http://mnregaweb4.nic.in/netnrega/citizen_html/compdetail.aspx,Airtel,299.8,N
,http://nrega.nic.in/complaints.htm,Airtel,0,Y
,http://mnregaweb4.nic.in/netnrega/citizen_html/citipoattend_rep.aspx,Airtel,427.8,N
,http://mnregaweb4.nic.in/netnrega/citizen_html/complaint_entry_rep.aspx,Airtel,509,N
,http://nrega.nic.in/pgr_more.htm,Airtel,0,Y
,http://nrega.nic.in/Circular_Archive/archive/nrega_doc_FAQs.pdf,Airtel,223.8,N
,http://mnregaweb4.nic.in/Netnrega/dgs.rar,Airtel,0,Y
,http://mnregaweb4.nic.in/netnrega/all_lvl_details_dashboard_new.aspx?Fin_Year=2021-2022&Digest=B5DSyTB/eSUSkZd2BpGzbA,Airtel,2280.2,N
,http://mnregaweb4.nic.in/netnrega/MISreport4.aspx,Airtel,868.8,N
,http://mnregaweb4.nic.in/netnrega/individual_asset_report.aspx?lflag=eng&fin_year=2017-2018&source=national&labels=labels&Digest=cT/J7ChEq5LOfEr0AmsuAQ,Airtel,435.8,N
,http://mnregaweb4.nic.in/netnrega/nrm_works_report.aspx?lflag=eng&fin_year=2017-2018&source=national&labels=labels&Digest=cT/J7ChEq5LOfEr0AmsuAQ,Airtel,445.8,N
,http://mnregaweb4.nic.in/netnrega/water_related_report.aspx?lflag=eng&fin_year=2017-2018&source=national&labels=labels&Digest=cT/J7ChEq5LOfEr0AmsuAQ,Airtel,499.8,N
,http://mnregaweb4.nic.in/netnrega/nrm_related_report.aspx?lflag=eng&fin_year=2017-2018&source=national&labels=labels&Digest=cT/J7ChEq5LOfEr0AmsuAQ,Airtel,443,N
,https://youtu.be/lrVFDRGvt_A,Airtel,2352,N
,https://youtu.be/j4-GAO7ZYAg,Airtel,2977.2,N
,https://youtu.be/8KiRI4fd-Hw,Airtel,1718.4,N
,https://rural.nic.in/sites/default/files/MoRD_Informative%20Poster%20for%20Workers_HR.pdf,Airtel,366.4,N
,https://rural.nic.in/sites/default/files/MoRD%205%20Sutra%20English%20Poster.pdf,Airtel,300.4,N
,https://bit.ly/AkshayKumarMoRD,Airtel,1531.4,N
,https://nrega.nic.in/netnrega/Data/Audio/Akshay_Kumar_Audio_Message.mpeg,Airtel,1291,N
,https://bit.ly/SachinTendulkarMoRD,Airtel,1492.6,N
,https://nrega.nic.in/netnrega/Data/Audio/Sachin_Tendulkar_Audio_Message.mpeg,Airtel,1763,N
,https://bit.ly/AmitabhMemories,Airtel,2776,N
,https://nrega.nic.in/netnrega/Data/Audio/Amitabh_Bachchan_Message_Audio.mpeg,Airtel,2672,N
,https://bit.ly/AmitabhPostCovid,Airtel,3812.8,N
,https://nrega.nic.in/netnrega/Data/Audio/Amitabh_Bachchan_Memories_Audio.mpeg,Airtel,6276,N
,https://youtu.be/SutxDDFu338,Airtel,2859,N
,http://nrega.nic.in/netnrega/Janmanrega.htm,Airtel,298.2,N
,http://mnregaweb4.nic.in/netnrega/Feedbacknrega.aspx,Airtel,793.8,N
,http://mnregaweb4.nic.in/Netnrega/UserMasterReport.aspx,Airtel,429.4,N
